ACCOUNT,ACCOUNT (L0),ACCOUNT (L1),ACCOUNT (L2),ACCOUNT (L3),ACCOUNT (L4),ACCOUNT (L5),ACCOUNT_CRD_INDICATOR,ACCOUNT_PK
Reactive Maintenance GMP,Total Cost,Incurred Cost,Controllable Cost,Premises,Reactive Maintenance GMP,Reactive Maintenance GMP,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Premises;L4Reactive Maintenance GMP;L5Reactive Maintenance GMP;
Reactive Maintenance Other,Total Cost,Directly Controllable Costs,Non Staff Costs,Premises & Equipment,Premises,Reactive Maintenance Other,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Premises & Equipment;L4Premises;L5Reactive Maintenance Other;
Reactive Maintenance Other,Total Cost,Incurred Cost,Controllable Cost,Premises,Reactive Maintenance Other,Reactive Maintenance Other,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Premises;L4Reactive Maintenance Other;L5Reactive Maintenance Other;
Recoveries,Impairments,Credit Impairment,IIP,Recoveries,Recoveries,Recoveries,WRB,;L0Impairments;L1Credit Impairment;L2IIP;L3Recoveries;L4Recoveries;L5Recoveries;
Recruitment,Total Cost,Directly Controllable Costs,Staff Costs exc Bonus,Other Staff Costs,Other Staff Costs,Recruitment,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Staff Costs exc Bonus;L3Other Staff Costs;L4Other Staff Costs;L5Recruitment;
Recruitment,Total Cost,Incurred Cost,Controllable Cost,Staff Costs exc Bonus,Recruitment,Recruitment,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Staff Costs exc Bonus;L4Recruitment;L5Recruitment;
Recruitment,Total Cost,Incurred Cost,Direct Manageable Costs,Staff ex Bonus & Comm,Recruitment,Recruitment,WRB,;L0Total Cost;L1Incurred Cost;L2Direct Manageable Costs;L3Staff ex Bonus & Comm;L4Recruitment;L5Recruitment;
Redundancy,Total Cost,Directly Controllable Costs,Staff Costs exc Bonus,Other Staff Costs,Other Staff Costs,Redundancy,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Staff Costs exc Bonus;L3Other Staff Costs;L4Other Staff Costs;L5Redundancy;
Redundancy,Total Cost,Incurred Cost,Controllable Cost,Staff Costs exc Bonus,Redundancy,Redundancy,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Staff Costs exc Bonus;L4Redundancy;L5Redundancy;
Redundancy,Total Cost,Incurred Cost,Direct Manageable Costs,Staff ex Bonus & Comm,Redundancy,Redundancy,WRB,;L0Total Cost;L1Incurred Cost;L2Direct Manageable Costs;L3Staff ex Bonus & Comm;L4Redundancy;L5Redundancy;
Rent & Taxes,Total Cost,Incurred Cost,Controllable Cost,Premises,Rent & Taxes,Rent & Taxes,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Premises;L4Rent & Taxes;L5Rent & Taxes;
Rent and Taxes,Total Cost,Directly Controllable Costs,Non Staff Costs,Premises & Equipment,Premises,Rent and Taxes,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Premises & Equipment;L4Premises;L5Rent and Taxes;
Reserves,Capital,Reserves,Reserves,Reserves,Reserves,Reserves,FPNA,;L0Capital;L1Reserves;L2Reserves;L3Reserves;L4Reserves;L5Reserves;
Resilience,Total Cost,Service Charge,T&O BAU,T&O Management,Resilience,Resilience,FPNA,;L0Total Cost;L1Service Charge;L2T&O BAU;L3T&O Management;L4Resilience;L5Resilience;
Rev/FTE,Rev/FTE,Rev/FTE,Rev/FTE,Rev/FTE,Rev/FTE,Rev/FTE,CIB,;L0Rev/FTE;L1Rev/FTE;L2Rev/FTE;L3Rev/FTE;L4Rev/FTE;L5Rev/FTE;
Rev/FTE,Rev/FTE,Rev/FTE,Rev/FTE,Rev/FTE,Rev/FTE,Rev/FTE,FPNA,;L0Rev/FTE;L1Rev/FTE;L2Rev/FTE;L3Rev/FTE;L4Rev/FTE;L5Rev/FTE;
Rev/FTE,Rev/FTE,Rev/FTE,Rev/FTE,Rev/FTE,Rev/FTE,Rev/FTE,MOH,;L0Rev/FTE;L1Rev/FTE;L2Rev/FTE;L3Rev/FTE;L4Rev/FTE;L5Rev/FTE;
Rev/FTE,Rev/FTE,Rev/FTE,Rev/FTE,Rev/FTE,Rev/FTE,Rev/FTE,WRB,;L0Rev/FTE;L1Rev/FTE;L2Rev/FTE;L3Rev/FTE;L4Rev/FTE;L5Rev/FTE;
Risk,Total Cost,Service Charge,Functions,"Risk, CFCR & Legal",Risk,Risk,FPNA,";L0Total Cost;L1Service Charge;L2Functions;L3Risk, CFCR & Legal;L4Risk;L5Risk;"
Risk,Total Cost,Service Charge,Risk,Risk,Risk,Risk,CIB,;L0Total Cost;L1Service Charge;L2Risk;L3Risk;L4Risk;L5Risk;
Risk,Total Cost,Service Charge,Support Functions,Risk,Risk,Risk,WRB,;L0Total Cost;L1Service Charge;L2Support Functions;L3Risk;L4Risk;L5Risk;
Risk and Control,Total Cost,Service Charge,T&O BAU,T&O Management,Risk and Control,Risk and Control,FPNA,;L0Total Cost;L1Service Charge;L2T&O BAU;L3T&O Management;L4Risk and Control;L5Risk and Control;
RoA %,RoA %,RoA %,RoA %,RoA %,RoA %,RoA %,CIB,;L0RoA %;L1RoA %;L2RoA %;L3RoA %;L4RoA %;L5RoA %;
RoA %,RoA %,RoA %,RoA %,RoA %,RoA %,RoA %,FPNA,;L0RoA %;L1RoA %;L2RoA %;L3RoA %;L4RoA %;L5RoA %;
RoA %,RoA %,RoA %,RoA %,RoA %,RoA %,RoA %,MOH,;L0RoA %;L1RoA %;L2RoA %;L3RoA %;L4RoA %;L5RoA %;
RoA %,RoA %,RoA %,RoA %,RoA %,RoA %,RoA %,WRB,;L0RoA %;L1RoA %;L2RoA %;L3RoA %;L4RoA %;L5RoA %;
RoRWA,RoRWA,RoRWA,RoRWA,RoRWA,RoRWA,RoRWA,CIB,;L0RoRWA;L1RoRWA;L2RoRWA;L3RoRWA;L4RoRWA;L5RoRWA;
RoRWA,RoRWA,RoRWA,RoRWA,RoRWA,RoRWA,RoRWA,FPNA,;L0RoRWA;L1RoRWA;L2RoRWA;L3RoRWA;L4RoRWA;L5RoRWA;
RoRWA,RoRWA,RoRWA,RoRWA,RoRWA,RoRWA,RoRWA,MOH,;L0RoRWA;L1RoRWA;L2RoRWA;L3RoRWA;L4RoRWA;L5RoRWA;
RoRWA,RoRWA,RoRWA,RoRWA,RoRWA,RoRWA,RoRWA,WRB,;L0RoRWA;L1RoRWA;L2RoRWA;L3RoRWA;L4RoRWA;L5RoRWA;
RoTE %,RoTE %,RoTE %,RoTE %,RoTE %,RoTE %,RoTE %,CIB,;L0RoTE %;L1RoTE %;L2RoTE %;L3RoTE %;L4RoTE %;L5RoTE %;
RoTE %,RoTE %,RoTE %,RoTE %,RoTE %,RoTE %,RoTE %,FPNA,;L0RoTE %;L1RoTE %;L2RoTE %;L3RoTE %;L4RoTE %;L5RoTE %;
RoTE %,RoTE %,RoTE %,RoTE %,RoTE %,RoTE %,RoTE %,MOH,;L0RoTE %;L1RoTE %;L2RoTE %;L3RoTE %;L4RoTE %;L5RoTE %;
RoTE %,RoTE %,RoTE %,RoTE %,RoTE %,RoTE %,RoTE %,WRB,;L0RoTE %;L1RoTE %;L2RoTE %;L3RoTE %;L4RoTE %;L5RoTE %;
S&T COO,Total Cost,Service Charge,Strategy and Talent,Strategy and Talent ex CRES,S&T COO,S&T COO,FPNA,;L0Total Cost;L1Service Charge;L2Strategy and Talent;L3Strategy and Talent ex CRES;L4S&T COO;L5S&T COO;
S&T Group Transformation,Total Cost,Service Charge,Strategy and Talent,Strategy and Talent ex CRES,S&T Group Transformation,S&T Group Transformation,FPNA,;L0Total Cost;L1Service Charge;L2Strategy and Talent;L3Strategy and Talent ex CRES;L4S&T Group Transformation;L5S&T Group Transformation;
SCM,Total Cost,Service Charge,Strategy and Talent,Strategy and Talent ex CRES,SCM,SCM,FPNA,;L0Total Cost;L1Service Charge;L2Strategy and Talent;L3Strategy and Talent ex CRES;L4SCM;L5SCM;
SCM,Total Cost,Service Charge,Support Functions,SCM,SCM,SCM,WRB,;L0Total Cost;L1Service Charge;L2Support Functions;L3SCM;L4SCM;L5SCM;
SME COB SME Ops,Total Cost,Intra WRB,Small and Medium Enterprises,Small and Medium Enterprises,SME Products,SME COB SME Ops,WRB,;L0Total Cost;L1Intra WRB;L2Small and Medium Enterprises;L3Small and Medium Enterprises;L4SME Products;L5SME COB SME Ops;
SME COB SME Ops,Total Cost,Service Charge,Small and Medium Enterprises,Small and Medium Enterprises,SME Products ,SME COB SME Ops,WRB,;L0Total Cost;L1Service Charge;L2Small and Medium Enterprises;L3Small and Medium Enterprises;L4SME Products ;L5SME COB SME Ops;
SME Client Acquiring,Total Cost,Intra WRB,Small and Medium Enterprises,Small and Medium Enterprises,SME Client Acquiring,SME Client Acquiring,WRB,;L0Total Cost;L1Intra WRB;L2Small and Medium Enterprises;L3Small and Medium Enterprises;L4SME Client Acquiring;L5SME Client Acquiring;
SME Client Acquiring,Total Cost,Service Charge,Small and Medium Enterprises,Small and Medium Enterprises,SME Client Acquiring,SME Client Acquiring,WRB,;L0Total Cost;L1Service Charge;L2Small and Medium Enterprises;L3Small and Medium Enterprises;L4SME Client Acquiring;L5SME Client Acquiring;
SME Corp Partnerships,Total Cost,Intra WRB,Small and Medium Enterprises,Small and Medium Enterprises,SME Corp Partnerships,SME Corp Partnerships,WRB,;L0Total Cost;L1Intra WRB;L2Small and Medium Enterprises;L3Small and Medium Enterprises;L4SME Corp Partnerships;L5SME Corp Partnerships;
SME Corp Partnerships,Total Cost,Service Charge,Small and Medium Enterprises,Small and Medium Enterprises,SME Corp Partnerships,SME Corp Partnerships,WRB,;L0Total Cost;L1Service Charge;L2Small and Medium Enterprises;L3Small and Medium Enterprises;L4SME Corp Partnerships;L5SME Corp Partnerships;
SME ME,Total Cost,Intra WRB,Small and Medium Enterprises,Small and Medium Enterprises,SME ME,SME ME,WRB,;L0Total Cost;L1Intra WRB;L2Small and Medium Enterprises;L3Small and Medium Enterprises;L4SME ME;L5SME ME;
SME ME,Total Cost,Service Charge,Small and Medium Enterprises,Small and Medium Enterprises,SME ME,SME ME,WRB,;L0Total Cost;L1Service Charge;L2Small and Medium Enterprises;L3Small and Medium Enterprises;L4SME ME;L5SME ME;
SME Products,Total Cost,Intra WRB,Small and Medium Enterprises,Small and Medium Enterprises,SME Products,SME Products,WRB,;L0Total Cost;L1Intra WRB;L2Small and Medium Enterprises;L3Small and Medium Enterprises;L4SME Products;L5SME Products;
SME Products,Total Cost,Intra WRB,Small and Medium Enterprises,Small and Medium Enterprises,SME Products ,SME Products,WRB,;L0Total Cost;L1Intra WRB;L2Small and Medium Enterprises;L3Small and Medium Enterprises;L4SME Products ;L5SME Products;
SME Products,Total Cost,Service Charge,Small and Medium Enterprises,Small and Medium Enterprises,SME Products ,SME Products,WRB,;L0Total Cost;L1Service Charge;L2Small and Medium Enterprises;L3Small and Medium Enterprises;L4SME Products ;L5SME Products;
SME RMs,Total Cost,Intra WRB,Small and Medium Enterprises,Small and Medium Enterprises,SME RMs,SME RMs,WRB,;L0Total Cost;L1Intra WRB;L2Small and Medium Enterprises;L3Small and Medium Enterprises;L4SME RMs;L5SME RMs;
SME RMs,Total Cost,Service Charge,Small and Medium Enterprises,Small and Medium Enterprises,SME RMs,SME RMs,WRB,;L0Total Cost;L1Service Charge;L2Small and Medium Enterprises;L3Small and Medium Enterprises;L4SME RMs;L5SME RMs;
SME Seg Clients,Total Cost,Intra WRB,Small and Medium Enterprises,Small and Medium Enterprises,SME Seg Clients,SME Seg Clients,WRB,;L0Total Cost;L1Intra WRB;L2Small and Medium Enterprises;L3Small and Medium Enterprises;L4SME Seg Clients;L5SME Seg Clients;
SME Seg Clients,Total Cost,Service Charge,Small and Medium Enterprises,Small and Medium Enterprises,SME Seg Clients,SME Seg Clients,WRB,;L0Total Cost;L1Service Charge;L2Small and Medium Enterprises;L3Small and Medium Enterprises;L4SME Seg Clients;L5SME Seg Clients;
SME SnT SME Ops,Total Cost,Intra WRB,Small and Medium Enterprises,Small and Medium Enterprises,SME Products,SME SnT SME Ops,WRB,;L0Total Cost;L1Intra WRB;L2Small and Medium Enterprises;L3Small and Medium Enterprises;L4SME Products;L5SME SnT SME Ops;
SME SnT SME Ops,Total Cost,Service Charge,Small and Medium Enterprises,Small and Medium Enterprises,SME Products ,SME SnT SME Ops,WRB,;L0Total Cost;L1Service Charge;L2Small and Medium Enterprises;L3Small and Medium Enterprises;L4SME Products ;L5SME SnT SME Ops;
SRB,Total Cost,Service Charge,Functions,CFCR,SRB,SRB,FPNA,;L0Total Cost;L1Service Charge;L2Functions;L3CFCR;L4SRB;L5SRB;
Salaries,Total Cost,Directly Controllable Costs,Staff Costs exc Bonus,Salaries & Allowances,Salaries & Allowances,Salaries,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Staff Costs exc Bonus;L3Salaries & Allowances;L4Salaries & Allowances;L5Salaries;
Salaries,Total Cost,Incurred Cost,Controllable Cost,Staff Costs exc Bonus,Salaries,Salaries,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Staff Costs exc Bonus;L4Salaries;L5Salaries;
Salaries,Total Cost,Incurred Cost,Direct Manageable Costs,Staff ex Bonus & Comm,Salaries,Salaries,WRB,;L0Total Cost;L1Incurred Cost;L2Direct Manageable Costs;L3Staff ex Bonus & Comm;L4Salaries;L5Salaries;
Security Costs GMP,Total Cost,Directly Controllable Costs,Non Staff Costs,Premises & Equipment,Premises,Security Costs GMP,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Premises & Equipment;L4Premises;L5Security Costs GMP;
Security Costs GMP,Total Cost,Incurred Cost,Controllable Cost,Premises,Security Costs GMP,Security Costs GMP,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Premises;L4Security Costs GMP;L5Security Costs GMP;
Security Costs Other,Total Cost,Directly Controllable Costs,Non Staff Costs,Premises & Equipment,Premises,Security Costs Other,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Premises & Equipment;L4Premises;L5Security Costs Other;
Security Costs Other,Total Cost,Incurred Cost,Controllable Cost,Premises,Security Costs Other,Security Costs Other,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Premises;L4Security Costs Other;L5Security Costs Other;
Serv Chrg Oth,Total Cost,Service Charge,Serv Chrg Oth,Serv Chrg Oth,Serv Chrg Oth,Serv Chrg Oth,CIB,;L0Total Cost;L1Service Charge;L2Serv Chrg Oth;L3Serv Chrg Oth;L4Serv Chrg Oth;L5Serv Chrg Oth;
Serv Chrg Oth,Total Cost,Service Charge,Serv Chrg Oth,Serv Chrg Oth,Serv Chrg Oth,Serv Chrg Oth,FPNA,;L0Total Cost;L1Service Charge;L2Serv Chrg Oth;L3Serv Chrg Oth;L4Serv Chrg Oth;L5Serv Chrg Oth;
Serv Chrg Oth,Total Cost,Service Charge,Serv Chrg Oth,Serv Chrg Oth,Serv Chrg Oth,Serv Chrg Oth,WRB,;L0Total Cost;L1Service Charge;L2Serv Chrg Oth;L3Serv Chrg Oth;L4Serv Chrg Oth;L5Serv Chrg Oth;
Share Capital,Capital,Share Capital,Share Capital,Share Capital,Share Capital,Share Capital,FPNA,;L0Capital;L1Share Capital;L2Share Capital;L3Share Capital;L4Share Capital;L5Share Capital;
Sharesave,Total Cost,Directly Controllable Costs,Staff Costs exc Bonus,Other Staff Costs,Other Staff Costs,Sharesave,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Staff Costs exc Bonus;L3Other Staff Costs;L4Other Staff Costs;L5Sharesave;
Sharesave,Total Cost,Incurred Cost,Controllable Cost,Staff Costs exc Bonus,Sharesave,Sharesave,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Staff Costs exc Bonus;L4Sharesave;L5Sharesave;
Sharesave,Total Cost,Incurred Cost,Direct Manageable Costs,Staff ex Bonus & Comm,Sharesave,Sharesave,WRB,;L0Total Cost;L1Incurred Cost;L2Direct Manageable Costs;L3Staff ex Bonus & Comm;L4Sharesave;L5Sharesave;
Social Security,Total Cost,Incurred Cost,Controllable Cost,Staff Costs exc Bonus,Social Security,Social Security,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Staff Costs exc Bonus;L4Social Security;L5Social Security;
Social Security,Total Cost,Incurred Cost,Direct Manageable Costs,Staff ex Bonus & Comm,Social Security,Social Security,WRB,;L0Total Cost;L1Incurred Cost;L2Direct Manageable Costs;L3Staff ex Bonus & Comm;L4Social Security;L5Social Security;
Social security,Total Cost,Directly Controllable Costs,Staff Costs exc Bonus,"Social Security, Pensions","Social Security, Pensions",Social security,FPNA,";L0Total Cost;L1Directly Controllable Costs;L2Staff Costs exc Bonus;L3Social Security, Pensions;L4Social Security, Pensions;L5Social security;"
Software,Total Cost,Directly Controllable Costs,Non Staff Costs,Software,Software,Software,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Software;L4Software;L5Software;
Software,Total Cost,Incurred Cost,Controllable Cost,Other Direct Costs,Software,Software,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Other Direct Costs;L4Software;L5Software;
Software,Total Cost,Incurred Cost,Direct Manageable Costs,Other Expenses,Software,Software,WRB,;L0Total Cost;L1Incurred Cost;L2Direct Manageable Costs;L3Other Expenses;L4Software;L5Software;
Spec Debt - New Prov/WOff,Impairments,Credit Impairments,Spec Debt - Net Charge,Spec Debt - New Prov/WOff,Spec Debt - New Prov/WOff,Spec Debt - New Prov/WOff,FPNA,;L0Impairments;L1Credit Impairments;L2Spec Debt - Net Charge;L3Spec Debt - New Prov/WOff;L4Spec Debt - New Prov/WOff;L5Spec Debt - New Prov/WOff;
Spec Debt - Not Req/Rec,Impairments,Credit Impairments,Spec Debt,Spec Debt - Not Req/Rec,Spec Debt - Not Req/Rec,Spec Debt - Not Req/Rec,FPNA,;L0Impairments;L1Credit Impairments;L2Spec Debt;L3Spec Debt - Not Req/Rec;L4Spec Debt - Not Req/Rec;L5Spec Debt - Not Req/Rec;
Spec Debt - Not Req/Rec,Impairments,Impairments,Credit Impairments,Spec Debt net charge,Spec Debt - Not Req/Rec,Spec Debt - Not Req/Rec,CIB,;L0Impairments;L1Impairments;L2Credit Impairments;L3Spec Debt net charge;L4Spec Debt - Not Req/Rec;L5Spec Debt - Not Req/Rec;
Specific Debt New Provisions Written off,Impairments,Impairments,Credit Impairments,Spec Debt net charge,Specific Debt New Provisions Written off,Specific Debt New Provisions Written off,CIB,;L0Impairments;L1Impairments;L2Credit Impairments;L3Spec Debt net charge;L4Specific Debt New Provisions Written off;L5Specific Debt New Provisions Written off;
Sponsorship,Total Cost,Directly Controllable Costs,Non Staff Costs,"Marketing, Adv & Sponsor","Marketing, Adv & Sponsor",Sponsorship,FPNA,";L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Marketing, Adv & Sponsor;L4Marketing, Adv & Sponsor;L5Sponsorship;"
Strategy,Total Cost,Service Charge,Strategy and Talent,Strategy and Talent ex CRES,Strategy,Strategy,FPNA,;L0Total Cost;L1Service Charge;L2Strategy and Talent;L3Strategy and Talent ex CRES;L4Strategy;L5Strategy;
Strategy,Total Cost,Service Charge,Support Functions,Strategy,Strategy,Strategy,WRB,;L0Total Cost;L1Service Charge;L2Support Functions;L3Strategy;L4Strategy;L5Strategy;
Subordinated Loans,Non-Group Liabilities,Funded Liabilities,Non-Grp Liabs Other,Subordinated Loans,Subordinated Loans,Subordinated Loans,FPNA,;L0Non-Group Liabilities;L1Funded Liabilities;L2Non-Grp Liabs Other;L3Subordinated Loans;L4Subordinated Loans;L5Subordinated Loans;
Swift & Transaction/Bank,Total Cost,Incurred Cost,Controllable Cost,Other Direct Costs,Swift & Transaction/Bank,Swift & Transaction/Bank,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Other Direct Costs;L4Swift & Transaction/Bank;L5Swift & Transaction/Bank;
T&I Services,Total Cost,Service Charge,T&I Services,T&I Services,T&I Services,T&I Services,CIB,;L0Total Cost;L1Service Charge;L2T&I Services;L3T&I Services;L4T&I Services;L5T&I Services;
T&O Group Management,Total Cost,Service Charge,T&O BAU,T&O Management,T&O Group Management,T&O Group Management,FPNA,;L0Total Cost;L1Service Charge;L2T&O BAU;L3T&O Management;L4T&O Group Management;L5T&O Group Management;
TECH PRODUCTION SUPPORT RECHARGE IN,Total Cost,T&O Recharges,T&O Recharges,T&O Recharges,Technology Production Support TPS,TECH PRODUCTION SUPPORT RECHARGE IN,FPNA,;L0Total Cost;L1T&O Recharges;L2T&O Recharges;L3T&O Recharges;L4Technology Production Support TPS;L5TECH PRODUCTION SUPPORT RECHARGE IN;
TECH PRODUCTION SUPPORT RECHARGE OUT,Total Cost,T&O Recharges,T&O Recharges,T&O Recharges,Technology Production Support TPS,TECH PRODUCTION SUPPORT RECHARGE OUT,FPNA,;L0Total Cost;L1T&O Recharges;L2T&O Recharges;L3T&O Recharges;L4Technology Production Support TPS;L5TECH PRODUCTION SUPPORT RECHARGE OUT;
TP Fee In,Income,Fee Income,TP Fee In,TP Fee In,TP Fee In,TP Fee In,CIB,;L0Income;L1Fee Income;L2TP Fee In;L3TP Fee In;L4TP Fee In;L5TP Fee In;
TP Fee In (0L),Income,Fee Income,TP Fee In (0L),TP Fee In (0L),TP Fee In (0L),TP Fee In (0L),CIB,;L0Income;L1Fee Income;L2TP Fee In (0L);L3TP Fee In (0L);L4TP Fee In (0L);L5TP Fee In (0L);
TP Fee In (ZM),Income,Fee Income,TP Fee In (ZM),TP Fee In (ZM),TP Fee In (ZM),TP Fee In (ZM),CIB,;L0Income;L1Fee Income;L2TP Fee In (ZM);L3TP Fee In (ZM);L4TP Fee In (ZM);L5TP Fee In (ZM);
TP Fee Out,Income,Fee Income,TP Fee Out,TP Fee Out,TP Fee Out,TP Fee Out,CIB,;L0Income;L1Fee Income;L2TP Fee Out;L3TP Fee Out;L4TP Fee Out;L5TP Fee Out;
TP Fee Out (0L),Income,Fee Income,TP Fee Out (0L),TP Fee Out (0L),TP Fee Out (0L),TP Fee Out (0L),CIB,;L0Income;L1Fee Income;L2TP Fee Out (0L);L3TP Fee Out (0L);L4TP Fee Out (0L);L5TP Fee Out (0L);
TP Fee Out (ZM),Income,Fee Income,TP Fee Out (ZM),TP Fee Out (ZM),TP Fee Out (ZM),TP Fee Out (ZM),CIB,;L0Income;L1Fee Income;L2TP Fee Out (ZM);L3TP Fee Out (ZM);L4TP Fee Out (ZM);L5TP Fee Out (ZM);
TP Group TP IN Cost,Total Cost,FGCR,FGCR,FGCR,FGCR,TP Group TP IN Cost,FPNA,;L0Total Cost;L1FGCR;L2FGCR;L3FGCR;L4FGCR;L5TP Group TP IN Cost;
TP Group TP OUT Cost,Total Cost,FGCR,FGCR,FGCR,FGCR,TP Group TP OUT Cost,FPNA,;L0Total Cost;L1FGCR;L2FGCR;L3FGCR;L4FGCR;L5TP Group TP OUT Cost;
TP Profit Split In,Income,Fee Income,TP Profit Split In,TP Profit Split In,TP Profit Split In,TP Profit Split In,CIB,;L0Income;L1Fee Income;L2TP Profit Split In;L3TP Profit Split In;L4TP Profit Split In;L5TP Profit Split In;
TP Profit Split In (0L),Income,Fee Income,TP Profit Split In (0L),TP Profit Split In (0L),TP Profit Split In (0L),TP Profit Split In (0L),CIB,;L0Income;L1Fee Income;L2TP Profit Split In (0L);L3TP Profit Split In (0L);L4TP Profit Split In (0L);L5TP Profit Split In (0L);
TP Profit Split In (ZM),Income,Fee Income,TP Profit Split In (ZM),TP Profit Split In (ZM),TP Profit Split In (ZM),TP Profit Split In (ZM),CIB,;L0Income;L1Fee Income;L2TP Profit Split In (ZM);L3TP Profit Split In (ZM);L4TP Profit Split In (ZM);L5TP Profit Split In (ZM);
TP Profit Split Out,Income,Fee Income,TP Profit Split Out,TP Profit Split Out,TP Profit Split Out,TP Profit Split Out,CIB,;L0Income;L1Fee Income;L2TP Profit Split Out;L3TP Profit Split Out;L4TP Profit Split Out;L5TP Profit Split Out;
TP Profit Split Out (0L),Income,Fee Income,TP Profit Split Out (0L),TP Profit Split Out (0L),TP Profit Split Out (0L),TP Profit Split Out (0L),CIB,;L0Income;L1Fee Income;L2TP Profit Split Out (0L);L3TP Profit Split Out (0L);L4TP Profit Split Out (0L);L5TP Profit Split Out (0L);
TP Profit Split Out (ZM),Income,Fee Income,TP Profit Split Out (ZM),TP Profit Split Out (ZM),TP Profit Split Out (ZM),TP Profit Split Out (ZM),CIB,;L0Income;L1Fee Income;L2TP Profit Split Out (ZM);L3TP Profit Split Out (ZM);L4TP Profit Split Out (ZM);L5TP Profit Split Out (ZM);
TPS - App - Recharge In,Total Cost,T&O Recharges,T&O Recharges,T&O Recharges,TPS inc DCR Recharges,TPS - App - Recharge In,FPNA,;L0Total Cost;L1T&O Recharges;L2T&O Recharges;L3T&O Recharges;L4TPS inc DCR Recharges;L5TPS - App - Recharge In;
TPS - App - Recharge Out,Total Cost,T&O Recharges,T&O Recharges,T&O Recharges,TPS inc DCR Recharges,TPS - App - Recharge Out,FPNA,;L0Total Cost;L1T&O Recharges;L2T&O Recharges;L3T&O Recharges;L4TPS inc DCR Recharges;L5TPS - App - Recharge Out;
TPS - Non App - Recharge In,Total Cost,T&O Recharges,T&O Recharges,T&O Recharges,TPS inc DCR Recharges,TPS - Non App - Recharge In,FPNA,;L0Total Cost;L1T&O Recharges;L2T&O Recharges;L3T&O Recharges;L4TPS inc DCR Recharges;L5TPS - Non App - Recharge In;
TPS - Non App - Recharge Out,Total Cost,T&O Recharges,T&O Recharges,T&O Recharges,TPS inc DCR Recharges,TPS - Non App - Recharge Out,FPNA,;L0Total Cost;L1T&O Recharges;L2T&O Recharges;L3T&O Recharges;L4TPS inc DCR Recharges;L5TPS - Non App - Recharge Out;
TPS CIB,Total Cost,Service Charge,T&O BAU,Technology,TPS CIB,TPS CIB,FPNA,;L0Total Cost;L1Service Charge;L2T&O BAU;L3Technology;L4TPS CIB;L5TPS CIB;
TPS Functions,Total Cost,Service Charge,T&O BAU,Technology,TPS Functions,TPS Functions,FPNA,;L0Total Cost;L1Service Charge;L2T&O BAU;L3Technology;L4TPS Functions;L5TPS Functions;
TPS ICS,Total Cost,Service Charge,T&O BAU,Technology,TPS ICS,TPS ICS,FPNA,;L0Total Cost;L1Service Charge;L2T&O BAU;L3Technology;L4TPS ICS;L5TPS ICS;
TPS Internal Charges,Total Cost,Incurred Cost,Other Recharges,TPS Internal Charges,TPS Internal Charges,TPS Internal Charges,WRB,;L0Total Cost;L1Incurred Cost;L2Other Recharges;L3TPS Internal Charges;L4TPS Internal Charges;L5TPS Internal Charges;
TPS Internal Recharge - In,Total Cost,Incurred Cost,T&O Recharges,TPS & DCR Recharges,TPS,TPS Internal Recharge - In,CIB,;L0Total Cost;L1Incurred Cost;L2T&O Recharges;L3TPS & DCR Recharges;L4TPS;L5TPS Internal Recharge - In;
TPS Internal Recharges - In,Total Cost,Directly Controllable Costs,Non Staff Costs,Others,Other Recharges,TPS Internal Recharges - In,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Others;L4Other Recharges;L5TPS Internal Recharges - In;
TPS Internal Recharges - Out,Total Cost,Directly Controllable Costs,Non Staff Costs,Others,Other Recharges,TPS Internal Recharges - Out,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Others;L4Other Recharges;L5TPS Internal Recharges - Out;
